Germany,AC Milan,Rome,2019,David King,45
Spain,SPAL 2013,Munich,2004,David James,74
Italy,Tottenham Hotspur,San Sebastian,2007,Nicholas Moore,14
Russia,Juventus FC,Birmingham,2017,Richard Walker,84
Spain,FC Orenburg,Orenburg,2010,Kenneth Hall,29
Spain,FC Sochi,London,2011,Michael Thompson,50
France,US Sassuolo,Seville,2004,William Robinson,80
England,Bayer 04 Leverkusen,Rome,1998,Nicholas Moore,20
Russia,FC Moscow,Barcelona,2003,William Robinson,37
England,FC Lorient,Orenburg,2012,Paul Davis,79
Spain,Stade de Reims,Munich,2003,James Johnson,98
Russia,Olympique Lyon,Rostov,2019,David King,49
Italy,Getafe CF,Leverkusen,2007,Michael Thompson,90
England,FC Metz,Liverpool,2016,Edward Phillips,44
Russia,FC Metz,Seville,2004,Brian Walker,92
Germany,Bayer 04 Leverkusen,Paris,2009,Richard White,87
France,RC Celta de Vigo,Palma de Mallorca,1997,Edward Phillips,98
England,FC Schalke 04,Vigo,2003,John Lewis,49
France,Sevilla FC,Brest,2010,Steven Taylor,10
Germany,VfL Wolfsburg,Sochi,2004,Jeffrey Adams,82
Spain,FC Lorient,Leicester,2021,David King,74
Germany,FC Ufa,Metz,1998,Matthew Baker,47
England,FC Sochi,Leicester,1998,Matthew Nelson,41
Germany,Borussia Dortmund,Monaco,2013,Norman White,68
England,SC Freiburg,Benevento,2012,Paul Davis,70
Spain,AS Roma,Mainz,1997,George Wilson,4
Spain,Leicester City,Freiburg,2018,Jeffrey Adams,48
Italy,FC Augsburg,Yekaterinburg,1995,Christopher Taylor,2
Italy,Real Madrid CF,Rostov,2007,Matthew Baker,73
Germany,Tottenham Hotspur,Getafe,2022,Brian Miller,44
Spain,Borussia Dortmund,Bilbao,2001,Kevin Campbell,2
Spain,RCD Mallorca,Leicester,1993,Mark Anderson,43
England,Tottenham Hotspur,Turin,2012,Edward Phillips,93
Spain,VfL Wolfsburg,Palma de Mallorca,2013,Kevin Campbell,52
Germany,FC St. Petersburg,Brest,2019,Adam Williams,95
Germany,FC Augsburg,Lyon,2015,Mark Anderson,88
Italy,Arsenal FC,Cologne,2008,Joshua Miller,82
Germany,Barcelona FC,Dortmund,1992,Brian Miller,22
England,FC Krasnodar,Lorient,2015,Ronald Wilson,79
Spain,FC Sochi,Wolfsburg,2017,Edward Phillips,63
England,Bayer 04 Leverkusen,Dortmund,2002,Christopher Taylor,78
Spain,Paris Saint Germain,Turin,2001,John Smith,64
Italy,FC Tambov,Lyon,2005,Christopher Taylor,57
Russia,FC Augsburg,Orenburg,1996,Kevin Campbell,0
Italy,Bayer 04 Leverkusen,Valencia,2000,Andrew Clark,46
Russia,AC Milan,Seville,2021,Kevin Campbell,52
England,Borussia Dortmund,Benevento,2020,Norman White,54
Italy,SC Freiburg,Vigo,2013,Brian Walker,15
France,Bayer 04 Leverkusen,Palma de Mallorca,2000,Albert Gonzalez,43
Italy,Juventus FC,Hoffenheim,2000,Kenneth Hall,78
England,FC Augsburg,Marseille,1992,Nicholas Moore,66
Russia,Juventus FC,Getafe,2010,Thomas Edwards,70
England,Real Betis,Valencia,2003,Paul Davis,81
Italy,FC Krasnodar,Sochi,2003,Andrew Clark,8
England,VfL Wolfsburg,Metz,2008,Nicholas Moore,33
France,FC Ural,London,2018,Joseph Evans,16
Russia,FC Tambov,Rostov,1990,Thomas Brown,43
Russia,Juventus FC,Sassuolo,1998,John Lewis,45
France,Benevento Calcio,London,2018,George Wilson,16
England,Stade Brestois,St. Petersburg,2022,Timothy Harris,47
England,Sevilla FC,San Sebastian,2003,Paul Davis,56
England,FSV Mainz 05,Reims,2004,Mark Anderson,62
Germany,Juventus FC,Hoffenheim,2004,Joseph Perez,25
France,Paris Saint Germain,Paris,2007,George Wilson,61
England,FC Krasnodar,Bilbao,1994,Brian Miller,58
Italy,Manchester United,Tambov,2009,William Moore,92
Germany,Atletico Madrid,Barcelona,2019,Michael Thompson,85
Germany,Real Sociedad,Yekaterinburg,2005,Michael Thompson,55
England,RC Celta de Vigo,Rennes,2019,Edward Phillips,28
Italy,FC Metz,Cagliari,2017,Michael Thompson,88
Russia,Juventus FC,Yekaterinburg,2013,Nicholas Moore,30
France,Manchester United,Lyon,1996,Matthew Baker,34
England,Real Sociedad,Augsburg,2017,David James,6
France,RC Celta de Vigo,Leverkusen,1996,Edward Phillips,19
